source_repository,source_head,source_path,source_sha256,bytes,status,source_type,disposition,prime_target,wave,reason
Jktomy/atlas-codex,c892dc05ea56db0134a0e865f56d491f9c02ff85,.gitattributes,0eff0b04ce2822f7b88132a425e4e07a554bfefa9b04bb308865edfa62e1e3dc,119,,,REMODEL,.gitattributes,P0,Prime already contains the reviewed Prime-native successor.
Jktomy/atlas-codex,c892dc05ea56db0134a0e865f56d491f9c02ff85,.github/ISSUE_TEMPLATE/athenas-spear.yml,42227c9f2aeadb052dd2a3c5363af73a5d39902b015c70dd06b91a58856d97d6,2401,,,REMODEL,.github/workflows/prime-readonly-validation.yml,P5,Codex workflow surface is replaced by Prime's bounded cross-platform validation.
Jktomy/atlas-codex,c892dc05ea56db0134a0e865f56d491f9c02ff85,.github/scripts/parse-source-pack.py,24d42a4c4c11348f23573de83a84021a6dcb45d108e395d6abc7068eb022e462,7414,,,REMODEL,.github/workflows/prime-readonly-validation.yml,P5,Codex workflow surface is replaced by Prime's bounded cross-platform validation.
Jktomy/atlas-codex,c892dc05ea56db0134a0e865f56d491f9c02ff85,.github/workflows/athenas-spear.yml,119e0833623b83a416a1ba8529075f9b42d399fc959daaf632fc7dadc9c19a7a,16013,,,REMODEL,.github/workflows/prime-readonly-validation.yml,P5,Codex workflow surface is replaced by Prime's bounded cross-platform validation.
Jktomy/atlas-codex,c892dc05ea56db0134a0e865f56d491f9c02ff85,.github/workflows/atlas-generate-index-artifacts.yml,d9730ada54f1b5f1077021cac8c7ef402a330e84f6974ac8a382a261dca7e668,4277,,,REMODEL,.github/workflows/prime-readonly-validation.yml,P5,Codex workflow surface is replaced by Prime's bounded cross-platform validation.
Jktomy/atlas-codex,c892dc05ea56db0134a0e865f56d491f9c02ff85,.github/workflows/atlas-metadata-patch.yml,43a695aa4a1b39f578beede3407f89371aeee4fc3e81fa7605d10f51e4441d4d,1528,,,REMODEL,.github/workflows/prime-readonly-validation.yml,P5,Codex workflow surface is replaced by Prime's bounded cross-platform validation.
Jktomy/atlas-codex,c892dc05ea56db0134a0e865f56d491f9c02ff85,.github/workflows/atlas-publish-index-artifacts.yml,254ede9776753b6cb8c18e1ef3f899a4ade561e929a619c39fb15fad8bf953e3,13040,,,REMODEL,.github/workflows/prime-readonly-validation.yml,P5,Codex workflow surface is replaced by Prime's bounded cross-platform validation.
Jktomy/atlas-codex,c892dc05ea56db0134a0e865f56d491f9c02ff85,.github/workflows/atlas-source-pack-pr.yml,40809fae4a7cfa6a3940dfe300a712f2976e1f2c23b4a0a690079aaf95eb36ae,11115,,,REMODEL,.github/workflows/prime-readonly-validation.yml,P5,Codex workflow surface is replaced by Prime's bounded cross-platform validation.
Jktomy/atlas-codex,c892dc05ea56db0134a0e865f56d491f9c02ff85,.github/workflows/atlas-source-pack-queue-pr.yml,ebaff2aaa0dc650c936c82bfb105aee1168b9795626a4afd0bfd8d2f06f0760d,4463,,,REMODEL,.github/workflows/prime-readonly-validation.yml,P5,Codex workflow surface is replaced by Prime's bounded cross-platform validation.
Jktomy/atlas-codex,c892dc05ea56db0134a0e865f56d491f9c02ff85,.github/workflows/atlas-source-patch-pr.yml,26624dff6d0223465bb59c2fdb3a92e4e039ff37f2dbbd36753f4e1c92572f29,7606,,,REMODEL,.github/workflows/prime-readonly-validation.yml,P5,Codex workflow surface is replaced by Prime's bounded cross-platform validation.
Jktomy/atlas-codex,c892dc05ea56db0134a0e865f56d491f9c02ff85,.github/workflows/atlas-tooling-patch-pr.yml,2e05bf2f12d8713e9a9c187749f9bdc0c377f6c3fcb89d41d92f096f1e230ea1,9547,,,REMODEL,.github/workflows/prime-readonly-validation.yml,P5,Codex workflow surface is replaced by Prime's bounded cross-platform validation.
Jktomy/atlas-codex,c892dc05ea56db0134a0e865f56d491f9c02ff85,.github/workflows/atlas-verify.yml,65dce7ba8f83dbb0c7180504662625c9a23e9d9e8f215cff3e9347a1b12ed5b2,1113,,,REMODEL,.github/workflows/prime-readonly-validation.yml,P5,Codex workflow surface is replaced by Prime's bounded cross-platform validation.
Jktomy/atlas-codex,c892dc05ea56db0134a0e865f56d491f9c02ff85,README.md,cc5e2f0a01a4297ada5acfbbce91fe80db860f90c752d7ec86f790bc5a7a2618,7181,Active,Core Doctrine,REMODEL,README.md,P0,Prime already contains the reviewed Prime-native successor.
